n;PMID
1;30343320
2;31888190
3;37438882
4;35085594
5;40243565
6;34203484
7;33780425
8;33549735
9;32476509
10;30889343
11;30711302
12;34966133
13;31036494
14;30534868
15;28268262
16;37834367
17;33845089
18;32020371
19;28562737
20;32552211
21;32811209
22;34155799
23;37834051
24;36687125
25;25914452
26;38673981
27;35427804
28;38004223
29;30912099
30;36243033
31;36412490
32;24460502
33;35008925
34;39753232
35;29266009
36;25023188
37;36521471
38;27480050
39;28986720
40;29686467
41;37993376
42;31353974
43;37312639
44;31488310
45;39755024
46;36966767
47;31800715
48;28612285
49;35367244
50;36593576
51;39478096
52;27485440
53;36300120
54;37447254
55;32683094
56;32773176
57;25024596
58;37992649
59;30600304
60;34993581
61;31381969
62;29789866
63;32876312
64;26999105
65;26412465
66;25514910
67;33861449
68;35978876
69;33132645
70;35176096
71;32906228
72;19381120
73;25102800
74;36472053
75;36913766
76;29641680
77;27104526
78;26156419
79;37422722
80;28001263
81;35055177
82;35042213
83;26073454
84;25418531
85;31880680
86;38631419
87;21892559
88;22749135
89;39214252
90;33176658
91;30806308
92;34050551
93;27966386
94;41025003
95;24548580
96;29756964
97;32280744
98;35067233
99;39859069
100;30707092
101;27577682
102;38282346
103;41009496
104;26512643
105;37753211
106;35984030
107;40294087
108;26064924
109;36523596
110;28099601
111;36095960
112;35635899
113;39273539
114;26160475
115;31840531
116;28006764
117;37611674
118;38824040
119;35043830
120;35670949
121;29660603
122;24059726
123;33212947
124;31900291
125;33149804
126;34210457
127;33962045
128;26339640
129;29055928
130;39358200
131;39203731
132;36426638
133;32942044
134;36417642
135;34157365
136;33584064
137;39549018
138;37466587
139;34248137
140;25152979
141;37092896
142;33846949
143;33694066
144;37866803
145;38220409
146;37739716
147;27846831
148;24517420
149;34905320
150;22876026
151;33321020
152;35933075
153;26120587
154;38097891
155;37100383
156;30968772
157;37958712
158;34931979
159;35134507
160;33340572
161;36179795
162;35966932
163;34456329
164;39045999
165;33181118
166;35952484
167;21301007
168;35343586
169;35007769
170;36075195
171;22030814
172;36018492
173;27520584
174;36231529
175;40513177
176;35043829
177;34974285
178;37149032
179;39045949
180;26435078
181;26256895
182;24322188
183;29855396
184;33966916
185;24114821
186;26545658
187;39669304
188;32279410
189;29151428
190;31575467
191;33374984
192;34479345
193;35585153
194;25920616
195;38681130
196;36694089
197;29641459
198;39075772
199;24566880
200;33031969
201;33081022
202;21147154
203;27572941
204;30194708
205;34774158
206;33573891
207;33515021
208;28138103
209;30714632
210;32830817
211;35630668
212;40576926
213;21569626
214;31101468
215;29636553
216;37674617
217;33913073
218;16003133
219;25956735
220;41009577
221;29083036
222;28464369
223;37042863
224;34190778
225;32892668
226;35546386
227;38140293
228;33422521
229;20456209
230;29913455
231;32620521
232;16937532
233;33664397
234;33900338
235;38831961
236;37734118
237;26039828
238;33648885
239;38321893
240;29505553
241;31299271
242;31529394
243;36912694
244;36214303
245;33982243
246;22008843
247;22539458
248;22430394
249;39395769
250;33492440
251;29384795
252;40045715
253;30499266
254;38542696
255;29724029
256;27493110
257;34473313
258;36620945
259;32918399
260;34156590
261;27102566
262;27310544
263;28206970
264;30323112
265;35020496
266;36928593
267;38293718
268;25252208
269;24333254
270;36430244
271;31978277
272;30361013
273;34525916
274;28802640
275;37331653
276;36815659
277;29893698
278;36280013
279;23155331
280;33632105
281;24098813
282;32430018
283;23547829
284;28158893
285;32639223
286;35576937
287;26597602
288;36899430
289;37258385
290;36787445
291;35058605
292;38052105
293;33622266
294;33428035
295;31846425
296;25993066
297;21664615
298;32454036
299;35633911
300;30030460
301;40930891
302;23740153
303;24793347
304;36328030
305;33998431
306;36551202
307;36202025
308;40689429
309;36807933
310;38710474
311;37834291
312;37419271
